,NAME,DP03_0004PE,state,place
426,"Bayonne city, New Jersey",60.1,34,03580
427,"Camden city, New Jersey",52.2,34,10000
428,"Clifton city, New Jersey",68.1,34,13690
429,"Elizabeth city, New Jersey",61.7,34,21000
430,"Passaic city, New Jersey",61.7,34,56550
431,"Jersey City city, New Jersey",69.0,34,36000
432,"Lakewood CDP, New Jersey",49.4,34,38580
433,"Newark city, New Jersey",55.9,34,51000
434,"Paterson city, New Jersey",57.0,34,57000
435,"Albuquerque city, New Mexico",62.1,35,02000
436,"Las Cruces city, New Mexico",55.8,35,39380
437,"Mount Vernon city, New York",64.0,36,49121
438,"New Rochelle city, New York",61.9,36,50617
439,"New York city, New York",59.2,36,51000
440,"Yonkers city, New York",59.8,36,84000
441,"Apex town, North Carolina",72.1,37,01520
442,"Asheville city, North Carolina",60.1,37,02140
443,"Cary town, North Carolina",68.7,37,10740
444,"Charlotte city, North Carolina",69.6,37,12000
445,"Concord city, North Carolina",63.2,37,14100
446,"Bismarck city, North Dakota",62.2,38,07200
447,"Toms River CDP, New Jersey",60.9,34,73110
448,"Trenton city, New Jersey",57.6,34,74000
449,"Union City city, New Jersey",61.2,34,74630
450,"Rio Rancho city, New Mexico",60.5,35,63460
451,"Santa Fe city, New Mexico",58.0,35,70500
452,"Albany city, New York",56.5,36,01000
453,"Buffalo city, New York",59.7,36,11000
454,"Cheektowaga CDP, New York",61.6,36,15000
455,"Rochester city, New York",56.3,36,63000
456,"Schenectady city, New York",58.0,36,65508
457,"Syracuse city, New York",52.6,36,73000
458,"Durham city, North Carolina",68.6,37,19000
459,"Fayetteville city, North Carolina",44.9,37,22920
460,"Gastonia city, North Carolina",63.3,37,25580
461,"Greensboro city, North Carolina",62.2,37,28000
462,"Greenville city, North Carolina",60.0,37,28080
463,"High Point city, North Carolina",58.9,37,31400
464,"Jacksonville city, North Carolina",31.7,37,34200
465,"Raleigh city, North Carolina",67.7,37,55000
466,"Wilmington city, North Carolina",65.8,37,74440
467,"Winston-Salem city, North Carolina",56.9,37,75000
468,"Cincinnati city, Ohio",63.1,39,15000
469,"Cleveland city, Ohio",53.4,39,16000
470,"Columbus city, Ohio",67.2,39,18000
471,"Dayton city, Ohio",53.6,39,21000
472,"Norman city, Oklahoma",60.0,40,52500
473,"Oklahoma City city, Oklahoma",63.8,40,55000
474,"Medford city, Oregon",58.7,41,47000
475,"Portland city, Oregon",67.1,41,59000
476,"Salem city, Oregon",59.0,41,64900
477,"Philadelphia city, Pennsylvania",59.7,42,60000
478,"Pittsburgh city, Pennsylvania",61.2,42,61000
479,"Reading city, Pennsylvania",59.7,42,63624
480,"Scranton city, Pennsylvania",54.7,42,69000
481,"Jackson city, Tennessee",61.1,47,37640
482,"Johnson City city, Tennessee",63.2,47,38320
483,"Knoxville city, Tennessee",63.4,47,40000
484,"Memphis city, Tennessee",59.7,47,48000
485,"Murfreesboro city, Tennessee",71.8,47,51560
486,"Nashville-Davidson metropolitan government (balance), Tennessee",70.1,47,52006
487,"Abilene city, Texas",56.5,48,01000
488,"Allen city, Texas",67.1,48,01924
489,"Amarillo city, Texas",62.8,48,03000
490,"Arlington city, Texas",67.6,48,04000
491,"Atascocita CDP, Texas",67.9,48,04462
492,"Austin city, Texas",73.0,48,05000
493,"Brownsville city, Texas",54.9,48,10768
494,"Fargo city, North Dakota",73.1,38,25700
495,"Akron city, Ohio",57.1,39,01000
496,"Canton city, Ohio",57.2,39,12000
497,"Lorain city, Ohio",53.0,39,44856
498,"Parma city, Ohio",65.2,39,61000
499,"Toledo city, Ohio",56.0,39,77000
500,"Broken Arrow city, Oklahoma",64.0,40,09050
501,"Edmond city, Oklahoma",65.4,40,23200
502,"Lawton city, Oklahoma",45.8,40,41850
503,"Tulsa city, Oklahoma",61.6,40,75000
504,"Beaverton city, Oregon",64.6,41,05350
505,"Bend city, Oregon",66.4,41,05800
506,"Eugene city, Oregon",60.0,41,23850
507,"Gresham city, Oregon",65.5,41,31250
508,"Hillsboro city, Oregon",73.1,41,34100
509,"Allentown city, Pennsylvania",63.5,42,02000
510,"Bethlehem city, Pennsylvania",57.8,42,06088
511,"Erie city, Pennsylvania",54.8,42,24000
512,"Cranston city, Rhode Island",61.0,44,19180
513,"Pawtucket city, Rhode Island",64.2,44,54640
514,"Providence city, Rhode Island",58.7,44,59000
515,"Warwick city, Rhode Island",59.7,44,74300
516,"Charleston city, South Carolina",65.9,45,13330
517,"Columbia city, South Carolina",55.6,45,16000
518,"Greenville city, South Carolina",67.7,45,30850
519,"Mount Pleasant town, South Carolina",64.9,45,48535
520,"North Charleston city, South Carolina",64.7,45,50875
521,"Rock Hill city, South Carolina",68.1,45,61405
522,"Rapid City city, South Dakota",57.3,46,52980
523,"Sioux Falls city, South Dakota",72.7,46,59020
524,"Chattanooga city, Tennessee",64.0,47,14000
525,"Clarksville city, Tennessee",56.1,47,15160
526,"Franklin city, Tennessee",66.4,47,27740
527,"Baytown city, Texas",65.7,48,06128
528,"Beaumont city, Texas",56.1,48,07000
529,"Bryan city, Texas",63.0,48,10912
530,"Carrollton city, Texas",71.7,48,13024
531,"Cedar Park city, Texas",69.3,48,13552
532,"College Station city, Texas",60.7,48,15976
533,"Conroe city, Texas",63.6,48,16432
534,"Corpus Christi city, Texas",59.9,48,17000
535,"Dallas city, Texas",66.5,48,19000
536,"Denton city, Texas",64.9,48,19972
537,"Edinburg city, Texas",57.0,48,22660
538,"El Paso city, Texas",56.1,48,24000
539,"Flower Mound town, Texas",66.1,48,26232
540,"Fort Worth city, Texas",64.5,48,27000
541,"Frisco city, Texas",71.3,48,27684
542,"Garland city, Texas",65.5,48,29000
543,"Georgetown city, Texas",56.5,48,29336
544,"Grand Prairie city, Texas",69.9,48,30464
545,"Harlingen city, Texas",50.7,48,32372
546,"Houston city, Texas",63.1,48,35000
547,"Irving city, Texas",69.9,48,37000
548,"Killeen city, Texas",53.0,48,39148
549,"Lewisville city, Texas",72.7,48,42508
550,"Laredo city, Texas",59.3,48,41464
551,"League City city, Texas",67.6,48,41980
552,"Leander city, Texas",77.1,48,42016
553,"Longview city, Texas",60.5,48,43888
554,"Lubbock city, Texas",63.5,48,45000
555,"McAllen city, Texas",56.9,48,45384
556,"McKinney city, Texas",70.5,48,45744
557,"Mansfield city, Texas",73.8,48,46452
558,"Mesquite city, Texas",69.0,48,47892
559,"Midland city, Texas",67.8,48,48072
560,"North Richland Hills city, Texas",66.6,48,52356
561,"Mission city, Texas",57.8,48,48768
562,"Missouri City city, Texas",64.4,48,48804
563,"New Braunfels city, Texas",64.8,48,50820
564,"Odessa city, Texas",64.9,48,53388
565,"Pasadena city, Texas",55.8,48,56000
566,"Pearland city, Texas",66.6,48,56348
567,"Pflugerville city, Texas",70.5,48,57176
568,"Pharr city, Texas",59.7,48,57200
569,"Round Rock city, Texas",68.2,48,63500
570,"Rowlett city, Texas",69.8,48,63572
571,"San Angelo city, Texas",56.6,48,64472
572,"San Antonio city, Texas",61.5,48,65000
573,"San Marcos city, Texas",65.6,48,65600
574,"The Woodlands CDP, Texas",56.3,48,72656
575,"Plano city, Texas",68.0,48,58016
576,"Richardson city, Texas",64.8,48,61796
577,"Spring CDP, Texas",68.2,48,69596
578,"Sugar Land city, Texas",61.9,48,70808
579,"Temple city, Texas",59.9,48,72176
580,"Tyler city, Texas",60.3,48,74144
581,"Victoria city, Texas",59.6,48,75428
582,"Orem city, Utah",70.0,49,57300
583,"Waco city, Texas",59.1,48,76000
584,"Wichita Falls city, Texas",54.5,48,79000
585,"Layton city, Utah",71.1,49,43660
586,"Lehi city, Utah",72.2,49,44320
587,"Ogden city, Utah",65.1,49,55980
588,"Provo city, Utah",72.4,49,62470
589,"St. George city, Utah",57.1,49,65330
590,"Salt Lake City city, Utah",73.0,49,67000
591,"Sandy city, Utah",66.4,49,67440
592,"South Jordan city, Utah",70.4,49,70850
593,"West Jordan city, Utah",73.7,49,82950
594,"West Valley City city, Utah",70.5,49,83470
595,"Chesapeake city, Virginia",60.6,51,16000
596,"Alexandria city, Virginia",72.8,51,01000
597,"Arlington CDP, Virginia",76.0,51,03000
598,"Centreville CDP, Virginia",69.7,51,14440
599,"Dale City CDP, Virginia",67.6,51,21088
600,"Richmond city, Virginia",64.9,51,67000
601,"Hampton city, Virginia",53.9,51,35000
602,"Lynchburg city, Virginia",52.1,51,47672
603,"Newport News city, Virginia",57.8,51,56000
604,"Norfolk city, Virginia",54.3,51,57000
605,"Portsmouth city, Virginia",53.3,51,64000
606,"Roanoke city, Virginia",58.1,51,68000
607,"Everett city, Washington",62.7,53,22640
608,"Suffolk city, Virginia",54.3,51,76432
609,"Virginia Beach city, Virginia",59.2,51,82000
610,"Auburn city, Washington",69.3,53,03180
611,"Bellevue city, Washington",66.4,53,05210
612,"Bellingham city, Washington",61.5,53,05280
613,"Federal Way city, Washington",60.2,53,23515
614,"Kennewick city, Washington",58.9,53,35275
615,"Kent city, Washington",63.7,53,35415
616,"Kirkland city, Washington",69.5,53,35940
617,"Renton city, Washington",66.2,53,57745
618,"Marysville city, Washington",65.0,53,43955
619,"Pasco city, Washington",65.5,53,53545
620,"Redmond city, Washington",71.8,53,57535
